"AnimalID","Sire","Dam","shell_color","poolID","famID","ABT","WW","ABT_t","gender","ABT_t_converted"
"CH_F070","NB_sire","R06_dam",1,5,"fam_109",27.9,45.44,-1.1632,2,-1.17785729334926
"CH_F132","NB_sire","R06_dam",1,5,"fam_109",30.3,50.86,0.6842,1,0.68202533679597
"CH_F166","NB_sire","R06_dam",1,5,"fam_109",29.46,26.13,0.0477,1,0.0439200252427743
"CH_F441","RR03_sire","RR13_dam",1,5,"fam_3",29.21,50.18,-0.184,2,-0.188712095180221
"CH_F471","RR03_sire","RR13_dam",1,5,"fam_3",29.24,49.75,-0.1598,2,-0.164386676392282
"CH_F491","RR03_sire","RR13_dam",1,5,"fam_3",29.75,59.91,0.2676,1,0.264491421885528
"CH_F556","RR03_sire","RR13_dam",1,5,"fam_3",28.52,24.02,-0.6348,2,-0.642265767767666
"CH_F689","RR04_sire","RR16_dam",1,5,"fam_8",30.19,37.21,0.568,1,0.56561423191122
"CH_F720","RR04_sire","RR16_dam",1,5,"fam_8",28.9,25.19,-0.3873,2,-0.393070358879647
"CH_F963","RR10_sire","RR46_dam",1,5,"fam_19",30.62,34.68,0.9326,2,0.93088930374625
"CH_H232","DD_sire","D04_dam",1,5,"fam_27",31.45,23.01,1.5059,1,1.50561667589355
"CH_H237","DD_sire","D04_dam",1,5,"fam_27",28.21,25,-0.9264,2,-0.93706307335426
"CH_H296","DD_sire","D04_dam",1,5,"fam_27",27.69,25.26,-1.3417,2,-1.36083170829032
"CH_H332","DD_sire","D04_dam",1,5,"fam_27",29.4,28.54,-0.0159,1,-0.0199585564685356
"CH_H347","DD_sire","D04_dam",1,5,"fam_27",29.65,35.01,0.2022,2,0.198879906408582
"CH_H383","DD_sire","D04_dam",1,5,"fam_27",29.74,38.82,0.2594,2,0.256233295317459
"CH_H428","RB_sire","N04_dam",1,5,"fam_30",30.39,70.01,0.775,1,0.773053961585312
"CH_H887","RD_sire","N12_dam",1,5,"fam_37",27.6,36.2,-1.4082,1,-1.42948026900413
"CH_J045","JB_sire","C04_dam",1,5,"fam_46",29.58,41.71,0.1437,1,0.140158156403418
"CH_J101","JB_sire","C04_dam",1,5,"fam_46",28.56,49.52,-0.6058,2,-0.613101970775398
"CH_J168","JB_sire","C04_dam",1,5,"fam_46",27.77,26.88,-1.2806,1,-1.29805767790976
"CH_J260","JD_sire","C08_dam",1,5,"fam_48",28.86,52.77,-0.4132,1,-0.419077853215981
"CH_J275","JD_sire","C08_dam",1,5,"fam_48",30.19,61.91,0.568,2,0.56561423191122
"CH_J280","JD_sire","C08_dam",1,5,"fam_48",30.31,35.32,0.6943,1,0.692133487847842
"CH_J367","JD_sire","C08_dam",1,5,"fam_48",28.44,34.54,-0.725,2,-0.733299473365148
"CH_J445","A14009_A_sire","A14009_1_dam",1,5,"fam_58",28.45,30.35,-0.7044,2,-0.71256552742236
"CH_J478","A14009_A_sire","A14009_1_dam",1,5,"fam_58",30.58,49.92,0.8963,2,0.89456604772315
"CH_J530","A14009_A_sire","A14009_1_dam",1,5,"fam_58",30.7,32.26,0.9991,1,0.997604171311297
"CH_J551","A14009_A_sire","A14009_1_dam",1,5,"fam_58",30.92,22.27,1.1671,2,1.16596011146932
"CH_J592","A14009_A_sire","A14009_1_dam",1,5,"fam_58",29.91,30.87,0.3723,1,0.369461936639859
"CH_J597","A14009_A_sire","A14009_1_dam",1,5,"fam_58",28.14,27.12,-0.9894,1,-1.00089209043462
"CH_J599","A14009_A_sire","A14009_1_dam",1,5,"fam_58",29.94,29.32,0.398,1,0.395227283187627
"CH_J779","JF_sire","C28_dam",1,5,"fam_59",28.69,37.8,-0.5219,1,-0.528526790051901
"CH_J837","009_B_sire","009_2_dam",1,5,"fam_63",30.7,29.07,0.9991,2,0.997604171311297
"CH_J838","009_B_sire","009_2_dam",1,5,"fam_63",28.51,33.99,-0.6494,2,-0.657053531003305
"CH_J865","009_B_sire","009_2_dam",1,5,"fam_63",29.28,16.22,-0.1176,2,-0.122041385870038
"CH_J954","009_B_sire","009_2_dam",1,5,"fam_63",29.48,26.81,0.0597,2,0.0559093619511882
"CH_J955","009_B_sire","009_2_dam",1,5,"fam_63",28.49,23.34,-0.6767,2,-0.684545808815392
"CH_J966","009_B_sire","009_2_dam",1,5,"fam_63",29.79,20.22,0.2883,2,0.28521724791614
"FE_K058","JE_sire","C26_dam",1,5,"fam_64",31.64,31.95,1.7252,1,1.72573607712001
"FE_K102","JE_sire","C26_dam",1,5,"fam_64",30.02,40.11,0.4503,2,0.447576870646752
"FE_K110","JE_sire","C26_dam",1,5,"fam_64",31.57,50.13,1.6059,1,1.60597112358835
"FE_K147","JE_sire","C26_dam",1,5,"fam_64",29.29,35.89,-0.1076,1,-0.111994174639077
"FE_K165","JE_sire","C26_dam",1,5,"fam_64",29.48,51.49,0.0597,2,0.0559093619511882
"FE_K178","JE_sire","C26_dam",1,5,"fam_64",31.23,25.76,1.3368,2,1.3360630608901
"FE_K190","JE_sire","C26_dam",1,5,"fam_64",31.25,41.89,1.3565,1,1.3558112351118
"FE_K193","JE_sire","C26_dam",1,5,"fam_64",31.15,36.84,1.3129,1,1.31208799564572
"FE_K248","F141730_A_sire","F141730_1_dam",1,5,"fam_69",31.46,32.8,1.5376,1,1.53736553357678
"FE_K253","F141730_A_sire","F141730_1_dam",1,5,"fam_69",29.41,33.17,-0.004,1,-0.00798297738332359
"FE_K255","F141730_A_sire","F141730_1_dam",1,5,"fam_69",28.82,31.54,-0.4437,1,-0.44978393586925
"FE_K312","F141730_A_sire","F141730_1_dam",1,5,"fam_69",27.62,36.74,-1.3923,2,-1.41304221473473
"FE_K323","F141730_A_sire","F141730_1_dam",1,5,"fam_69",28.64,44.28,-0.5587,2,-0.56561423191122
"FE_K367","F141730_A_sire","F141730_1_dam",1,5,"fam_69",28.3,50.35,-0.8299,1,-0.839348302319338
"FE_K375","F141730_A_sire","F141730_1_dam",1,5,"fam_69",27.33,29.88,-1.6994,1,-1.73465152202038
"FE_K391","F141730_A_sire","F141730_1_dam",1,5,"fam_69",30.23,43.47,0.6202,1,0.617925871798512
"FE_K492","F4179_B_sire","F4179_2_dam",1,6,"fam_70",27.18,41.63,-1.9116,2,-1.9654423899064
"FE_K706","GG03_sire","HH05_dam",1,6,"fam_72",30.19,41.33,0.568,2,0.56561423191122
"FE_K783","GG03_sire","HH05_dam",1,6,"fam_72",31.81,47.37,1.8757,1,1.87706231130567
"FE_K907","A14099_A_sire","A14099_1_dam",1,6,"fam_76",28.41,22.25,-0.7537,2,-0.762335363841312
"FE_L237","F41126_C_sire","F41126_7_dam",1,6,"fam_23",29.69,31.95,0.2266,1,0.223368899269238
"FE_L412","F41111_A_sire","F41111_1_dam",1,6,"fam_115",29.46,49.2,0.0477,2,0.0439200252427743
"FE_L958","RC_sire","N20_dam",1,6,"fam_38",29.41,57.31,-0.004,1,-0.00798297738332359
"FE_M048","RB_sire","R04_dam",2,6,"fam_43",28.81,47.31,-0.4547,1,-0.460852463754679
"FE_M049","RB_sire","R04_dam",2,6,"fam_43",29.79,47.07,0.2883,1,0.28521724791614
"FE_M069","RB_sire","R04_dam",2,6,"fam_43",27.44,29.52,-1.564,1,-1.59164288590439
"FE_M350","102_C_sire","102_3_dam",1,6,"fam_53",31.57,31.1,1.6059,2,1.60597112358835
"FE_M379","102_C_sire","102_3_dam",1,6,"fam_53",31.46,49.69,1.5376,1,1.53736553357678
"FE_M704","RC_sire","R20_dam",2,6,"fam_80",28.37,19.45,-0.7804,2,-0.789300651871426
"FE_M723","RC_sire","R20_dam",2,6,"fam_80",30.45,27.26,0.8049,2,0.803000367256777
"FE_M774","RC_sire","R20_dam",2,6,"fam_83",27.81,17.75,-1.254,2,-1.27073860698951
"FE_M787","RC_sire","R20_dam",2,6,"fam_83",28.88,42.2,-0.4002,1,-0.406039774612735
"FE_M809","RC_sire","R20_dam",2,6,"fam_83",28.26,18.24,-0.8757,2,-0.885668516683683
"FE_M824","RC_sire","R20_dam",2,6,"fam_83",28.45,23.15,-0.7044,2,-0.71256552742236
"FE_M848","RC_sire","R20_dam",2,6,"fam_83",28.93,22.57,-0.3596,1,-0.365191915243078
"FE_M865","RC_sire","R20_dam",2,6,"fam_83",30.88,42.57,1.1439,2,1.14264813104062
"FE_N005","RD_sire","R22_dam",2,6,"fam_82",29.93,33.8,0.3873,2,0.384460802559278
