Ind,Sire,Dam
CH_F070,NB_sire,R06_dam
CH_F132,NB_sire,R06_dam
CH_F166,NB_sire,R06_dam
CH_F441,RR03_sire,RR13_dam
CH_F471,RR03_sire,RR13_dam
CH_F491,RR03_sire,RR13_dam
CH_F556,RR03_sire,RR13_dam
CH_F689,RR04_sire,RR16_dam
CH_F720,RR04_sire,RR16_dam
CH_F963,RR10_sire,RR46_dam
CH_H232,DD_sire,D04_dam
CH_H237,DD_sire,D04_dam
CH_H296,DD_sire,D04_dam
CH_H332,DD_sire,D04_dam
CH_H347,DD_sire,D04_dam
CH_H383,DD_sire,D04_dam
CH_H428,RB_sire,N04_dam
CH_H887,RD_sire,N12_dam
CH_J045,JB_sire,C04_dam
CH_J101,JB_sire,C04_dam
CH_J168,JB_sire,C04_dam
CH_J260,JD_sire,C08_dam
CH_J275,JD_sire,C08_dam
CH_J280,JD_sire,C08_dam
CH_J367,JD_sire,C08_dam
CH_J445,A14009_A_sire,A14009_1_dam
CH_J478,A14009_A_sire,A14009_1_dam
CH_J530,A14009_A_sire,A14009_1_dam
CH_J551,A14009_A_sire,A14009_1_dam
CH_J592,A14009_A_sire,A14009_1_dam
CH_J597,A14009_A_sire,A14009_1_dam
CH_J599,A14009_A_sire,A14009_1_dam
CH_J779,JF_sire,C28_dam
CH_J837,009_B_sire,009_2_dam
CH_J838,009_B_sire,009_2_dam
CH_J865,009_B_sire,009_2_dam
CH_J954,009_B_sire,009_2_dam
CH_J955,009_B_sire,009_2_dam
CH_J966,009_B_sire,009_2_dam
FE_K058,JE_sire,C26_dam
FE_K102,JE_sire,C26_dam
FE_K110,JE_sire,C26_dam
FE_K147,JE_sire,C26_dam
FE_K165,JE_sire,C26_dam
FE_K178,JE_sire,C26_dam
FE_K190,JE_sire,C26_dam
FE_K193,JE_sire,C26_dam
FE_K248,F141730_A_sire,F141730_1_dam
FE_K253,F141730_A_sire,F141730_1_dam
FE_K255,F141730_A_sire,F141730_1_dam
FE_K312,F141730_A_sire,F141730_1_dam
FE_K323,F141730_A_sire,F141730_1_dam
FE_K367,F141730_A_sire,F141730_1_dam
FE_K375,F141730_A_sire,F141730_1_dam
FE_K391,F141730_A_sire,F141730_1_dam
FE_K492,F4179_B_sire,F4179_2_dam
FE_K706,GG03_sire,HH05_dam
FE_K783,GG03_sire,HH05_dam
FE_K907,A14099_A_sire,A14099_1_dam
FE_L237,F41126_C_sire,F41126_7_dam
FE_L412,F41111_A_sire,F41111_1_dam
FE_L958,RC_sire,N20_dam
FE_M048,RB_sire,R04_dam
FE_M049,RB_sire,R04_dam
FE_M069,RB_sire,R04_dam
FE_M350,102_C_sire,102_3_dam
FE_M379,102_C_sire,102_3_dam
FE_M704,RC_sire,R20_dam
FE_M723,RC_sire,R20_dam
FE_M774,RC_sire,R20_dam
FE_M787,RC_sire,R20_dam
FE_M809,RC_sire,R20_dam
FE_M824,RC_sire,R20_dam
FE_M848,RC_sire,R20_dam
FE_M865,RC_sire,R20_dam
FE_N005,RD_sire,R22_dam
FE_N030,RD_sire,R22_dam
FE_N032,RD_sire,R22_dam
FE_N039,RD_sire,R22_dam
FE_N053,RD_sire,R22_dam
FE_N075,RD_sire,R22_dam
FE_N233,RB_sire,R16_dam
FE_N236,RB_sire,R16_dam
FE_N240,RB_sire,R16_dam
FE_N332,RB_sire,R16_dam
FE_N337,RB_sire,R16_dam
FE_N403,RA_sire,R14_dam
FE_N423,RA_sire,R14_dam
FE_N431,RA_sire,R14_dam
FE_N434,RA_sire,R14_dam
FE_N452,RA_sire,R14_dam
FE_N484,RA_sire,R14_dam
FE_N490,RA_sire,R14_dam
FE_N500,RA_sire,R14_dam
FE_N537,RA_sire,R14_dam
FE_N547,RA_sire,R14_dam
FE_N909,RA_sire,R01_dam
FE_N912,RA_sire,R01_dam
FE_N922,RA_sire,R01_dam
FE_N925,RA_sire,R01_dam
FE_N926,RA_sire,R01_dam
FE_N951,RA_sire,R01_dam
FE_N953,RA_sire,R01_dam
HO_A003,CC_sire,Y09_dam
HO_A004,CC_sire,Y09_dam
HO_A040,CC_sire,Y09_dam
HO_A060,CC_sire,Y09_dam
HO_A071,CC_sire,Y09_dam
HO_A077,CC_sire,Y09_dam
HO_A084,CC_sire,Y09_dam
HO_A090,CC_sire,Y09_dam
HO_A128,CC_sire,Y09_dam
HO_A160,CC_sire,Y09_dam
HO_A163,CC_sire,Y09_dam
HO_A208,CC_sire,Y09_dam
HO_A216,CC_sire,Y09_dam
HO_A227,CC_sire,Y09_dam
HO_A326,CC_sire,Y09_dam
HO_A332,CC_sire,Y09_dam
HO_A342,CC_sire,Y09_dam
HO_A351,CC_sire,Y09_dam
HO_A363,CC_sire,Y09_dam
HO_A374,CC_sire,Y09_dam
HO_A382,CC_sire,Y09_dam
HO_A754,CD_sire,J25_dam
HO_B034,CC_sire,Y22_dam
HO_B043,CC_sire,Y22_dam
HO_B058,CC_sire,Y22_dam
HO_B073,CC_sire,Y22_dam
HO_B074,CC_sire,Y22_dam
HO_B107,CC_sire,Y22_dam
HO_B197,CC_sire,Y22_dam
HO_B198,CC_sire,Y22_dam
HO_B215,CC_sire,Y22_dam
HO_B228,CC_sire,Y22_dam
HO_B265,CC_sire,Y22_dam
HO_B289,CC_sire,Y22_dam
HO_B425,GG05_sire,GG02_dam
HO_B476,GG05_sire,GG02_dam
HO_B506,CD_sire,J26_dam
HO_B507,CD_sire,J26_dam
HO_B522,CD_sire,J26_dam
HO_B547,CD_sire,J26_dam
HO_B564,CD_sire,J26_dam
HO_B585,CD_sire,J26_dam
HO_B586,CD_sire,J26_dam
HO_B633,CD_sire,J26_dam
HO_B656,CD_sire,J26_dam
HO_B713,CD_sire,J26_dam
HO_B717,CD_sire,J26_dam
HO_B718,CD_sire,J26_dam
HO_B758,CD_sire,J26_dam
HO_B773,CD_sire,J26_dam
HO_B852,CD_sire,J26_dam
HO_B898,CD_sire,J26_dam
HO_B911,CD_sire,J26_dam
HO_B925,CD_sire,J26_dam
HO_B950,CD_sire,J26_dam
HO_B961,CD_sire,J26_dam
HO_B966,CD_sire,J26_dam
HO_B996,CD_sire,J26_dam
HO_C094,GG05_sire,GG02_dam
HO_C123,GG05_sire,GG02_dam
HO_C156,GG05_sire,GG02_dam
HO_C196,GG05_sire,GG02_dam
HO_C307,CC_sire,Y22_dam
HO_C310,CC_sire,Y22_dam
HO_C348,CC_sire,Y22_dam
HO_C350,CC_sire,Y22_dam
HO_C412,CC_sire,Y22_dam
HO_C422,CC_sire,Y22_dam
HO_C489,CC_sire,Y22_dam
HO_C529,RR06_sire,RR30_dam
HO_C586,RR06_sire,RR30_dam
HO_C658,RR06_sire,RR30_dam
HO_C816,GG05_sire,GG02_dam
HO_C831,GG05_sire,GG02_dam
HO_C870,GG05_sire,GG02_dam
HO_C975,RR06_sire,RR30_dam
HO_D140,NC_sire,R20_dam
HO_D231,NC_sire,R20_dam
HO_D283,NC_sire,R20_dam
HO_D477,NC_sire,R20_dam
HO_D498,NC_sire,R20_dam
HO_D841,RR07_sire,RR35_dam
HO_E055,RR02_sire,RR10_dam
HO_E091,RR02_sire,RR10_dam
HO_E532,RR01_sire,RR04_dam
HO_E598,RR01_sire,RR04_dam
HO_E834,RR01_sire,RR04_dam
HO_E843,RR01_sire,RR04_dam
HO_E929,RR01_sire,RR04_dam
HO_E932,RR01_sire,RR04_dam
HU_A014,RR06_sire,RR29_dam
HU_A083,RR06_sire,RR29_dam
HU_A189,RR06_sire,RR29_dam
HU_A257,RR03_sire,RR12_dam
HU_A312,RR03_sire,RR12_dam
HU_A329,RR03_sire,RR12_dam
HU_A353,RR03_sire,RR12_dam
HU_A373,RR03_sire,RR12_dam
HU_A479,RR04_sire,RR20_dam
HU_A562,RR04_sire,RR20_dam
HU_B217,RB_sire,N05_dam
HU_B304,RB_sire,N05_dam
HU_B307,RB_sire,N05_dam
HU_B388,RB_sire,N05_dam
HU_B544,RD_sire,N10_dam
HU_B685,RC_sire,N09_dam
HU_B736,RC_sire,N09_dam
HU_B747,RC_sire,N09_dam
HU_B775,RC_sire,N09_dam
HU_B783,RC_sire,N09_dam
HU_B967,RA_sire,N14_dam
HU_C203,DC_sire,C07_dam
HU_C211,DC_sire,C07_dam
HU_C225,DC_sire,C07_dam
HU_C226,DC_sire,C07_dam
HU_C230,DC_sire,C07_dam
HU_C238,DC_sire,C07_dam
HU_C248,DC_sire,C07_dam
HU_C272,DC_sire,C07_dam
HU_C325,DC_sire,C07_dam
HU_C351,DC_sire,C07_dam
HU_C406,JD_sire,C09_dam
HU_C434,JD_sire,C09_dam
HU_C441,JD_sire,C09_dam
HU_C454,JD_sire,C09_dam
HU_C493,JD_sire,C09_dam
HU_C602,JE_sire,C12_dam
HU_C622,JE_sire,C12_dam
HU_C631,JE_sire,C12_dam
HU_C645,JE_sire,C12_dam
HU_C678,JE_sire,C12_dam
HU_C681,JE_sire,C12_dam
HU_C776,JE_sire,C12_dam
HU_C784,JE_sire,C12_dam
HU_C799,JE_sire,C12_dam
HU_C852,096_B_sire,096_2_dam
HU_C904,096_B_sire,096_2_dam
HU_C911,096_B_sire,096_2_dam
HU_C988,096_B_sire,096_2_dam
HU_C994,096_B_sire,096_2_dam
HU_D069,JE_sire,C25_dam
HU_D105,JE_sire,C25_dam
HU_D142,JE_sire,C25_dam
HU_D146,JE_sire,C25_dam
HU_D186,JE_sire,C25_dam
HU_D207,JF_sire,C27_dam
HU_D258,JF_sire,C27_dam
HU_D283,JF_sire,C27_dam
HU_D298,JF_sire,C27_dam
HU_D350,JF_sire,C27_dam
HU_D358,JF_sire,C27_dam
HU_D382,JF_sire,C27_dam
HU_D392,JF_sire,C27_dam
HU_D394,JF_sire,C27_dam
HU_D413,175_D_sire,175_4_dam
HU_D478,175_D_sire,175_4_dam
HU_D505,175_D_sire,175_4_dam
HU_D511,175_D_sire,175_4_dam
HU_D598,175_D_sire,175_4_dam
HU_D625,1730_D_sire,1730_4_dam
HU_D644,1730_D_sire,1730_4_dam
HU_D649,1730_D_sire,1730_4_dam
HU_D681,1730_D_sire,1730_4_dam
HU_D682,1730_D_sire,1730_4_dam
HU_D706,1730_D_sire,1730_4_dam
HU_D709,1730_D_sire,1730_4_dam
HU_D740,1730_D_sire,1730_4_dam
HU_D753,1730_D_sire,1730_4_dam
HU_D791,1730_D_sire,1730_4_dam
HU_D805,1730_C_sire,1730_3_dam
HU_D825,1730_C_sire,1730_3_dam
HU_D853,1730_C_sire,1730_3_dam
HU_D865,1730_C_sire,1730_3_dam
HU_D901,1730_C_sire,1730_3_dam
HU_D905,1730_C_sire,1730_3_dam
HU_D909,1730_C_sire,1730_3_dam
HU_D931,1730_C_sire,1730_3_dam
HU_D937,1730_C_sire,1730_3_dam
HU_D947,1730_C_sire,1730_3_dam
HU_D951,1730_C_sire,1730_3_dam
HU_D981,1730_C_sire,1730_3_dam
HU_E121,CB_sire,D06_dam
HU_E206,CD_sire,C08_dam
HU_E232,CD_sire,C08_dam
HU_E285,CD_sire,C08_dam
HU_E287,CD_sire,C08_dam
HU_E288,CD_sire,C08_dam
HU_E339,CD_sire,C08_dam
HU_E365,CD_sire,C08_dam
HU_E387,CD_sire,C08_dam
HU_E425,GG04_sire,HH03_dam
HU_E502,GG04_sire,HH03_dam
HU_E543,GG04_sire,HH03_dam
HU_E627,NA_sire,R02_dam
HU_E651,NA_sire,R02_dam
HU_E670,NA_sire,R02_dam
HU_E800,NA_sire,R03_dam
HU_E827,NA_sire,R03_dam
HU_E860,NA_sire,R03_dam
LA_K182,NB_sire,N16_dam
LA_K285,NB_sire,N16_dam
LA_K435,NB_sire,N16_dam
LA_K510,CD_sire,J11_dam
LA_K520,CD_sire,J11_dam
LA_K630,CD_sire,J11_dam
LA_K666,CD_sire,J11_dam
LA_K761,CD_sire,J11_dam
LA_K777,CD_sire,J11_dam
LA_K816,CD_sire,J11_dam
LA_K840,CD_sire,J11_dam
LA_K844,CD_sire,J11_dam
LA_K886,CD_sire,J11_dam
LA_L040,CB_sire,D20_dam
LA_L134,CB_sire,D20_dam
LA_L173,CB_sire,D20_dam
LA_L326,CC_sire,Y23_dam
LA_L388,CC_sire,Y23_dam
LA_L493,CC_sire,Y23_dam
LA_L511,CC_sire,Y23_dam
LA_L555,CC_sire,Y23_dam
LA_L562,CC_sire,Y23_dam
LA_L572,CC_sire,Y23_dam
LA_L665,GG05_sire,HH13_dam
LA_L670,GG05_sire,HH13_dam
LA_L701,GG05_sire,HH13_dam
LA_L733,GG05_sire,HH13_dam
LA_L745,GG05_sire,HH13_dam
LA_L791,GG05_sire,HH13_dam
LA_L806,GG05_sire,HH13_dam
LA_L881,GG05_sire,HH13_dam
LA_M037,GG05_sire,GG09_dam
LA_M142,GG05_sire,GG09_dam
LA_M342,GG04_sire,GG03_dam
LA_M346,GG04_sire,GG03_dam
LA_M354,GG04_sire,GG03_dam
LA_M392,GG04_sire,GG03_dam
LA_M411,GG04_sire,GG03_dam
LA_M418,GG04_sire,GG03_dam
LA_M455,GG04_sire,GG03_dam
LA_M511,GG04_sire,GG03_dam
LA_M593,GG04_sire,GG03_dam
LA_N035,NC_sire,R09_dam
LA_N084,NC_sire,R09_dam
LA_N136,NC_sire,R09_dam
LA_N203,NC_sire,R09_dam
LA_N204,NC_sire,R09_dam
LA_N208,NC_sire,R09_dam
LA_N214,NC_sire,R09_dam
LA_N232,NC_sire,R09_dam
LA_N233,NC_sire,R09_dam
LA_N238,NC_sire,R09_dam
LA_N251,NC_sire,R09_dam
LA_N288,NC_sire,R09_dam
LA_N359,NC_sire,R08_dam
LA_N360,NC_sire,R08_dam
LA_N383,NC_sire,R08_dam
LA_N414,NC_sire,R08_dam
LA_N473,NC_sire,R08_dam
LA_N520,NC_sire,R08_dam
LA_N539,NC_sire,R08_dam
LA_N541,NC_sire,R08_dam
LA_N600,NA_sire,R13_dam
LA_N618,NA_sire,R13_dam
LA_N624,NA_sire,R13_dam
LA_N659,NA_sire,R13_dam
LA_N683,NA_sire,R13_dam
LA_N709,NA_sire,R13_dam
LA_N750,NA_sire,R13_dam
LA_N751,NA_sire,R13_dam
LA_N762,NA_sire,R13_dam
LA_N771,NA_sire,R13_dam
LA_N774,NA_sire,R13_dam
LA_N793,NA_sire,R13_dam
LA_N800,NA_sire,R13_dam
LA_N817,NA_sire,R13_dam
LA_N857,NA_sire,R13_dam
